date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:27	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2025%20Jan%202022%2007:26:21%20GMT	https://rewind-single-page.webflow.io/robots.txt		(from )
12:56:27	138579/138579	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jan%202022%2007:26:21%20GMT	https://rewind-single-page.webflow.io/	E:/Web%20Development/new%20webs/https___rewind-single-page.webflow.io_/rewind-single-page.webflow.io/index.html	(from )
12:56:28	140366/140366	---M-Z	200	added ('OK')	text/css	etag:%22544593d703938e68d0a8e64d62b338bf%22	https://assets.website-files.com/602682135feffbb25b6df0ae/css/rewind-single-page.webflow.633ad21de.css	E:/Web%20Development/new%20webs/https___rewind-single-page.webflow.io_/assets.website-files.com/602682135feffbb25b6df0ae/css/rewind-single-page.webflow.633ad21de.css	(from https://rewind-single-page.webflow.io/)
12:56:29	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	E:/Web%20Development/new%20webs/https___rewind-single-page.webflow.io_/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://rewind-single-page.webflow.io/)
12:56:29	1277/1277	---M--	200	added ('OK')	image/jpeg	etag:%22c4e61680f0aac2fd16c3bb8672f04df2%22	https://assets.website-files.com/602682135feffbb25b6df0ae/602682135feffbe3046df12c_favicon32x32.jpg	E:/Web%20Development/new%20webs/https___rewind-single-page.webflow.io_/assets.website-files.com/602682135feffbb25b6df0ae/602682135feffbe3046df12c_favicon32x32.jpg	(from https://rewind-single-page.webflow.io/)
12:56:30	8732/8732	---M--	200	added ('OK')	image/jpeg	etag:%228f70bf862217fc52253933ee3fac2682%22	https://assets.website-files.com/602682135feffbb25b6df0ae/602682135feffb50586df12d_favicon256x256.jpg	E:/Web%20Development/new%20webs/https___rewind-single-page.webflow.io_/assets.website-files.com/602682135feffbb25b6df0ae/602682135feffb50586df12d_favicon256x256.jpg	(from https://rewind-single-page.webflow.io/)
12:56:30	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2025%20Jan%202022%2007:26:24%20GMT	https://rewind-single-page.webflow.io/%22https://assets.website-files.com/601aaba1192d007c924fd2de/601aaf1d95dc4c0cdb9340eb_production%20ID_4990237-poster-00001.jpg%22	E:/Web%20Development/new%20webs/https___rewind-single-page.webflow.io_/rewind-single-page.webflow.io/_https_/assets.website-files.com/601aaba1192d007c924fd2de/601aaf1d95dc4c0cdb9340eb_production%20ID_4990237-poster-00001.jpg_	(from https://rewind-single-page.webflow.io/)
12:56:30	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2025%20Jan%202022%2007:26:24%20GMT	https://rewind-single-page.webflow.io/%22https://assets.website-files.com/601aaba1192d007c924fd2de/601abd0e6cf274dd57e34ed7_1-poster-00001.jpg%22	E:/Web%20Development/new%20webs/https___rewind-single-page.webflow.io_/rewind-single-page.webflow.io/_https_/assets.website-files.com/601aaba1192d007c924fd2de/601abd0e6cf274dd57e34ed7_1-poster-00001.jpg_	(from https://rewind-single-page.webflow.io/)
12:56:30	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2025%20Jan%202022%2007:26:25%20GMT	https://rewind-single-page.webflow.io/%22https://assets.website-files.com/601aaba1192d007c924fd2de/601abd5850ecb5edaa97b0c7_2-poster-00001.jpg%22	E:/Web%20Development/new%20webs/https___rewind-single-page.webflow.io_/rewind-single-page.webflow.io/_https_/assets.website-files.com/601aaba1192d007c924fd2de/601abd5850ecb5edaa97b0c7_2-poster-00001.jpg_	(from https://rewind-single-page.webflow.io/)
12:56:31	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2025%20Jan%202022%2007:26:25%20GMT	https://rewind-single-page.webflow.io/%22https://assets.website-files.com/601aaba1192d007c924fd2de/601abd8095dc4c5ffd9379d5_3-poster-00001.jpg%22	E:/Web%20Development/new%20webs/https___rewind-single-page.webflow.io_/rewind-single-page.webflow.io/_https_/assets.website-files.com/601aaba1192d007c924fd2de/601abd8095dc4c5ffd9379d5_3-poster-00001.jpg_	(from https://rewind-single-page.webflow.io/)
