date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:21	74438/74438	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2009:50:19%20GMT	https://zero-design-template.webflow.io/	E:/Web%20Development/new%20webs/zero%20design/zero-design-template.webflow.io/index.html	(from )
15:20:21	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Mon,%2022%20Nov%202021%2009:50:19%20GMT	https://zero-design-template.webflow.io/robots.txt		(from )
15:20:22	452461/452461	---M-Z	200	added ('OK')	text/css	etag:%22e8046355d07d758ed11a8b1633679dd9%22	https://assets.website-files.com/613f07ccd12aa4000cbc257a/css/zero-design-template.webflow.c3bf56b2e.css	E:/Web%20Development/new%20webs/zero%20design/assets.website-files.com/613f07ccd12aa4000cbc257a/css/zero-design-template.webflow.c3bf56b2e.css	(from https://zero-design-template.webflow.io/)
15:20:23	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	E:/Web%20Development/new%20webs/zero%20design/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://zero-design-template.webflow.io/)
15:20:23	4171/4171	---M--	200	added ('OK')	image/jpeg	etag:%22c992b6edb293da061b408d801e592a92%22	https://assets.website-files.com/613f07ccd12aa4000cbc257a/613f07ccd12aa460d8bc263e_favicon32x32.jpg	E:/Web%20Development/new%20webs/zero%20design/assets.website-files.com/613f07ccd12aa4000cbc257a/613f07ccd12aa460d8bc263e_favicon32x32.jpg	(from https://zero-design-template.webflow.io/)
15:20:24	7957/7957	---M--	200	added ('OK')	image/jpeg	etag:%22baa9c8d333e1c8a37292c7cfdc86a4ab%22	https://assets.website-files.com/613f07ccd12aa4000cbc257a/613f07ccd12aa46c28bc263f_favico256x256.jpg	E:/Web%20Development/new%20webs/zero%20design/assets.website-files.com/613f07ccd12aa4000cbc257a/613f07ccd12aa46c28bc263f_favico256x256.jpg	(from https://zero-design-template.webflow.io/)
15:20:25	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Mon,%2022%20Nov%202021%2009:50:23%20GMT	https://zero-design-template.webflow.io/%22https://assets.website-files.com/60eede95d5512e2a55b9e7da/60f56292b1e2f2bebc3c891c_Pexels-Free-Creative-Stuff-5575178-1-poster-00001.jpg%22	E:/Web%20Development/new%20webs/zero%20design/zero-design-template.webflow.io/_https_/assets.website-files.com/60eede95d5512e2a55b9e7da/60f56292b1e2f2bebc3c891c_Pexels-Free-Creative-Stuff-5575178-1-poster-00001.jpg_	(from https://zero-design-template.webflow.io/)
15:20:25	154670/154670	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2009:50:23%20GMT	https://zero-design-template.webflow.io/landings/landing-1	E:/Web%20Development/new%20webs/zero%20design/zero-design-template.webflow.io/landings/landing-1.html	(from https://zero-design-template.webflow.io/)
15:20:25	158676/158676	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2009:50:23%20GMT	https://zero-design-template.webflow.io/landings/landing-2	E:/Web%20Development/new%20webs/zero%20design/zero-design-template.webflow.io/landings/landing-2.html	(from https://zero-design-template.webflow.io/)
15:20:25	106984/106984	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2009:50:24%20GMT	https://zero-design-template.webflow.io/landings/landing-3	E:/Web%20Development/new%20webs/zero%20design/zero-design-template.webflow.io/landings/landing-3.html	(from https://zero-design-template.webflow.io/)
15:20:25	24239/24239	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2009:50:24%20GMT	https://zero-design-template.webflow.io/landings/landing-4	E:/Web%20Development/new%20webs/zero%20design/zero-design-template.webflow.io/landings/landing-4.html	(from https://zero-design-template.webflow.io/)
15:20:26	55626/55626	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2009:50:24%20GMT	https://zero-design-template.webflow.io/about-page/about-1	E:/Web%20Development/new%20webs/zero%20design/zero-design-template.webflow.io/about-page/about-1.html	(from https://zero-design-template.webflow.io/)
15:20:26	51362/51362	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2009:50:24%20GMT	https://zero-design-template.webflow.io/about-page/about-2	E:/Web%20Development/new%20webs/zero%20design/zero-design-template.webflow.io/about-page/about-2.html	(from https://zero-design-template.webflow.io/)
15:20:26	52512/52512	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2009:50:25%20GMT	https://zero-design-template.webflow.io/contact-page/contact-1	E:/Web%20Development/new%20webs/zero%20design/zero-design-template.webflow.io/contact-page/contact-1.html	(from https://zero-design-template.webflow.io/)
15:20:27	49344/49344	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2009:50:25%20GMT	https://zero-design-template.webflow.io/contact-page/contact-2	E:/Web%20Development/new%20webs/zero%20design/zero-design-template.webflow.io/contact-page/contact-2.html	(from https://zero-design-template.webflow.io/)
15:20:27	46102/46102	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2009:50:25%20GMT	https://zero-design-template.webflow.io/contact-page/contact-3	E:/Web%20Development/new%20webs/zero%20design/zero-design-template.webflow.io/contact-page/contact-3.html	(from https://zero-design-template.webflow.io/)
15:20:28	96673/96673	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2009:50:26%20GMT	https://zero-design-template.webflow.io/more-page/team	E:/Web%20Development/new%20webs/zero%20design/zero-design-template.webflow.io/more-page/team.html	(from https://zero-design-template.webflow.io/)
15:20:28	59519/59519	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2009:50:26%20GMT	https://zero-design-template.webflow.io/more-page/faq	E:/Web%20Development/new%20webs/zero%20design/zero-design-template.webflow.io/more-page/faq.html	(from https://zero-design-template.webflow.io/)
15:20:29	102751/102751	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2009:50:27%20GMT	https://zero-design-template.webflow.io/blog-page/blog-1	E:/Web%20Development/new%20webs/zero%20design/zero-design-template.webflow.io/blog-page/blog-1.html	(from https://zero-design-template.webflow.io/)
15:20:29	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Mon,%2022%20Nov%202021%2009:50:28%20GMT	https://zero-design-template.webflow.io/blog-page/blog-2	E:/Web%20Development/new%20webs/zero%20design/zero-design-template.webflow.io/blog-page/blog-2	(from https://zero-design-template.webflow.io/)
