date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:49	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2028%20Dec%202021%2015:01:49%20GMT	https://nyska.webflow.io/robots.txt		(from )
20:31:49	38482/38482	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Dec%202021%2015:01:50%20GMT	https://nyska.webflow.io/	E:/Web%20Development/new%20webs/nyska/nyska.webflow.io/index.html	(from )
20:31:50	117406/117406	---M-Z	200	added ('OK')	text/css	etag:%2239e6a303e5b3a5a0f621c1fef7cd93e5%22	https://assets.website-files.com/6055e17ce08cca9c6f339e49/css/nyska.webflow.f7b576dec.css	E:/Web%20Development/new%20webs/nyska/assets.website-files.com/6055e17ce08cca9c6f339e49/css/nyska.webflow.f7b576dec.css	(from https://nyska.webflow.io/)
20:31:51	342/342	---M--	200	added ('OK')	image/png	etag:%227efe0ec9a3d65856b7f47b8bcb6d61f7%22	https://assets.website-files.com/6055e17ce08cca9c6f339e49/60edc31bdc8d505da8a26d6f_Frame%20194.png	E:/Web%20Development/new%20webs/nyska/assets.website-files.com/6055e17ce08cca9c6f339e49/60edc31bdc8d505da8a26d6f_Frame%20194.png	(from https://nyska.webflow.io/)
20:31:51	2471/2471	---M--	200	added ('OK')	image/png	etag:%227452778d42ee270c2c0ab2366fb09f40%22	https://assets.website-files.com/6055e17ce08cca9c6f339e49/60edc345dc8d507bb3a26daa_Frame%20195.png	E:/Web%20Development/new%20webs/nyska/assets.website-files.com/6055e17ce08cca9c6f339e49/60edc345dc8d507bb3a26daa_Frame%20195.png	(from https://nyska.webflow.io/)
20:31:51	16988/16988	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Dec%202021%2015:01:52%20GMT	https://nyska.webflow.io/about	E:/Web%20Development/new%20webs/nyska/nyska.webflow.io/about.html	(from https://nyska.webflow.io/)
20:31:52	25157/25157	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Dec%202021%2015:01:52%20GMT	https://nyska.webflow.io/case-studies-slider	E:/Web%20Development/new%20webs/nyska/nyska.webflow.io/case-studies-slider.html	(from https://nyska.webflow.io/)
20:31:52	11898/11898	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Dec%202021%2015:01:52%20GMT	https://nyska.webflow.io/testimonials	E:/Web%20Development/new%20webs/nyska/nyska.webflow.io/testimonials.html	(from https://nyska.webflow.io/)
20:31:52	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2028%20Dec%202021%2015:01:52%20GMT	https://nyska.webflow.io/services	E:/Web%20Development/new%20webs/nyska/nyska.webflow.io/services	(from https://nyska.webflow.io/)
20:31:53	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2028%20Dec%202021%2015:01:53%20GMT	https://nyska.webflow.io/team-categories	E:/Web%20Development/new%20webs/nyska/nyska.webflow.io/team-categories	(from https://nyska.webflow.io/)
20:31:53	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2028%20Dec%202021%2015:01:53%20GMT	https://nyska.webflow.io/blog	E:/Web%20Development/new%20webs/nyska/nyska.webflow.io/blog	(from https://nyska.webflow.io/)
20:31:53	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2028%20Dec%202021%2015:01:53%20GMT	https://nyska.webflow.io/career	E:/Web%20Development/new%20webs/nyska/nyska.webflow.io/career	(from https://nyska.webflow.io/)
20:31:53	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2028%20Dec%202021%2015:01:54%20GMT	https://nyska.webflow.io/style-guide	E:/Web%20Development/new%20webs/nyska/nyska.webflow.io/style-guide	(from https://nyska.webflow.io/)
20:31:54	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2028%20Dec%202021%2015:01:54%20GMT	https://nyska.webflow.io/contact	E:/Web%20Development/new%20webs/nyska/nyska.webflow.io/contact	(from https://nyska.webflow.io/)
20:31:54	16374/16374	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Dec%202021%2015:01:54%20GMT	https://nyska.webflow.io/case-studies/woldie	E:/Web%20Development/new%20webs/nyska/nyska.webflow.io/case-studies/woldie.html	(from https://nyska.webflow.io/)
20:31:54	73716/73716	---M--	200	added ('OK')	image/jpeg	etag:%220ab03944c866168f62b14e6fe53a6abb%22	https://assets.website-files.com/6055e17ce08cca9c6f339e49/6056242ed954038d275b8d1c_Hero%20Photo%20(1).jpg	E:/Web%20Development/new%20webs/nyska/assets.website-files.com/6055e17ce08cca9c6f339e49/6056242ed954038d275b8d1c_Hero%20Photo%20(1).jpg	(from https://nyska.webflow.io/)
